问题编号	关联资产	资产类型	安全层面 	控制点	控制项	问题描述	问题分析	关联威胁	风险值	危害分析	整改建议	整改优先级	总分提升参考
安全通用要求													
W001	反向代理服务器（222.199.255.27）	服务器	安全计算环境	身份鉴别	a）应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；	部分服务器未设置合理的口令复杂度策略，未设置口令定期更换策略。	部分服务器未设置合理的口令复杂度策略，未设置口令定期更换策略。	信息损害	中风险	部分服务器存在口令被攻击者暴力破解的可能性。	"一、建议部分服务器设置口令复杂度策略，如口令长度8位以上，至少包括大小写字母、数字和特殊字符中的三种或以上；建议设置口令定期更换策略，如口令90天定期更换。
二、1、建议部分Windows操作系统设置口令复杂度策略，如口令长度8位以上，至少包括大小写字母、数字和特殊字符中的三种或以上，推荐配置如下：
（1）【运行】-【secpol.msc】-【帐户策略】-【密码策略】； 
（2）【密码必须符合复杂性要求】：已启用；
（3）【密码长度最小值】：8个字符（8位以上均可）；
2、推荐设置口令定期更换策略，如口令90天定期更换，推荐配置如下：
（1）【密码最长使用期限】：90天。
（2）【运行】-【compmgmt.msc】-【系统工具】-【本地用户和组】-【用户】-【右键“用户名”（每个账户均需要）】-【属性】；
（3）不勾选【密码永不过期】。"	中	2.111
W002	反向代理服务器（222.199.255.27）	服务器	安全计算环境	身份鉴别	b）应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施；	部分服务器未设置合理的登录失败处理功能，未设置合理的登录超时自动退出时间。	部分服务器未设置合理的登录失败处理功能，未设置合理的登录超时自动退出时间。	信息损害	高风险	部分服务器登录口令可能被恶意用户使用暴力猜解方式获得，合法用户身份被仿冒，导致系统被非授权访问。	"一、建议部分服务器设置合理的登录失败处理功能，推荐配置：登录失败5次锁定30分钟；建议设置合理的登录超时时间，推荐配置：登录无操作30分钟自动退出。
二、1、建议部分Windows操作系统设置登录失败锁定功能，如登录失败5次，锁定30分钟，推荐配置如下：
（1）【运行】-【secpol.msc】-【帐户策略】-【帐户锁定策略】；
（2）【帐户锁定阈值】：5次；
（3）【帐户锁定时间】：30分钟；
（4）【重置帐户锁定计数器】：30分钟之后；
2、推荐设置登录连接超时自动退出功能，如登录超时30分钟自动退出，推荐配置如下：
（1）【控制面板】-【外观】-【显示】-【更改屏幕保护程序】；
【控制面板】-【外观和个性化】-【个性化】-【更改屏幕保护程序】;
（2）勾选【在恢复时显示登录屏幕】；
（3）设置等待30分钟。
（4）【运行】-【gpedit.msc】-【计算机配置】-【管理模板】-【Windows组件】-【远程桌面服务】-【远程桌面会话主机】-【会话时间限制】-【设置活动但空闲的远程桌面服务会话的时间限制】；
（5）勾选【已启用】；
（6）选项：空闲会话限制：30分钟。"	高	3.5555
W005	反向代理服务器（222.199.255.27）	服务器	安全计算环境	访问控制	b）应重命名或删除默认账户，修改默认账户的默认口令；	部分服务器未限制默认账户root远程登录。	部分服务器未限制默认账户root远程登录。	未授权行为	中风险	部分服务器可能导致外部能猜测系统用户名口令，造成信息泄露。	建议部分服务器限制默认账户root远程登录。	高	0.6109999999999999
W007	反向代理服务器（222.199.255.27）	服务器	安全计算环境	访问控制	d）应授予管理用户所需的最小权限，实现管理用户的权限分离。	服务器未授予管理用户的最小权限，未实现管理用的权限分离。	服务器未授予管理用户的最小权限，未实现管理用的权限分离。	未授权行为	中风险	服务器管理员权限过大，可能无法对管理员的行为进行监管、制约。	"一、建议部分服务器禁止使用超级管理员账户进行日常运维，同时新建系统管理员、审计管理员和安全管理员，并分配合理的权限实现权限分离。
二、建议Windows操作系统禁止使用超级管理员Administrator账户进行日常运维，并新建系统管理员、审计管理员和安全管理员，并分配合理的权限实现权限分离，推荐配置如下：
（1）【运行】-【compmgmt.msc】-【系统工具】-【本地用户和组】-【用户】-【右键】-【新用户】；
（2）添加系统管理员账户（sysadmin）、审计管理员账户（audadmin）、安全管理员账户（secadmin）；
（3）audadmin分配权限： Event Log Readers、Performance Log Users；
（4）secadmin分配权限：Access Control Assistance Operators、Network Configuration Operators；
（5）sysadmin分配权限：未分配给audadmin和secadmin的其他所有权限。"	高	2.139
W009	反向代理服务器（222.199.255.27）	服务器	安全计算环境	安全审计	c）应对审计记录进行保护，定期备份，避免受到未预期的删除、修改或覆盖等。	部分服务器未设置合理的审计记录备份策略。	部分服务器未设置合理的审计记录备份策略。	信息损害	中风险	部分服务器可能导致审计日志被恶意修改、删除后无法及时恢复，不便于安全事件的追溯，不易发现系统安全隐患。	建议部分服务器采取技术措施（如设置日志服务器或日志审计设备等方式）对审计记录进行备份。	中	1.049
W011	反向代理服务器（222.199.255.27）	服务器	安全计算环境	恶意代码防范	a）应安装防恶意代码软件或配置具有相应功能的软件，并定期进行升级和更新防恶意代码库。	部分服务器未采用主机防恶意代码软件对病毒行为进行检测。	部分服务器未采用主机防恶意代码软件对病毒行为进行检测。	信息损害	高风险	部分服务器缺乏统一的病毒监控机制将不利于管理员掌握系统内各主机操作系统的病毒防护现状，无法在病毒暴发时采取及时的应对措施。	建议部分服务器采用主机防恶意代码软件对病毒行为进行检测。	高	2.3075
W012	反向代理服务器（222.199.255.27）	服务器	安全计算环境	可信验证	a）可基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警，并将验证结果形成审计记录送至安全管理中心。	部分服务器未基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证。	部分服务器未基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证。	信息损害	低风险	部分服务器无法确保接入网络系统的用户身份、系统引导程序、系统程序、重要程序和应用程序可信。	建议部分服务器基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证。	低	2.5
W014	反向代理服务器（222.199.255.27）	服务器	安全计算环境	数据备份恢复	a）应提供重要数据的本地数据备份与恢复功能；	服务器未对已备份的数据进行定期恢复，无法保证备份数据的有效性。	服务器未对已备份的数据进行定期恢复，无法保证备份数据的有效性。	信息损害	中风险	服务器可能导致系统出现重大故障后，无可用的备份介质用来恢复生产数据，从而影响业务的正常开展。	"一、建议部分服务器对已备份的数据进行定期恢复，保证备份数据的有效性，并保留恢复记录。
二、建议Windows操作系统对已备份的服务器数据进行定期恢复，保证备份数据的有效性，并保留恢复记录。"	中	3.92025
W015	反向代理服务器（222.199.255.27）	服务器	安全计算环境	数据备份恢复	b）应提供异地数据备份功能，利用通信网络将重要数据定时批量传送至备用场地。	服务器未将重要数据进行实时异地备份。	服务器未将重要数据进行实时异地备份。	信息损害	中风险	服务器如机房遭受严重破坏，可能导致数据完全丢失。	建议服务器利用通信网络将重要数据异地实时备份，且异地备份位置距离单位30公里以上。	中	4.651
